"","symbol","cases","ctrls","Odds ratio","95% CIs","P value","Adj. P value"
"MGST2","MGST2",0,5,0,"0-6.716",1,1
"MGST3","MGST3",0,4,0,"0-9.323",1,1
"MIA","MIA",1,11,0.559,"0.013-3.852",1,1
"MIA2","MIA2",3,12,1.539,"0.278-5.716",0.455429043363959,1
"MIA3","MIA3",5,41,0.749,"0.23-1.9",0.672525387206545,1
"MIB1","MIB1",8,29,1.702,"0.671-3.83",0.228666053552025,1
"MIB2","MIB2",10,43,1.435,"0.641-2.911",0.317647136219351,1
"MICA","MICA",1,6,1.025,"0.022-8.464",1,1
"MICAL1","MICAL1",4,46,0.533,"0.139-1.465",0.304784989195477,1
"MICAL2","MICAL2",10,47,1.312,"0.589-2.641",0.441477698230831,1
"MICAL3","MICAL3",10,83,0.739,"0.34-1.434",0.451931110922656,1
"MICALCL","MICALCL",7,18,2.401,"0.846-6.044",0.0732992324207589,1
"MICALL1","MICALL1",4,31,0.793,"0.203-2.249",0.810344247154828,1
"MICALL2","MICALL2",6,36,1.025,"0.352-2.465",1,1
"MICB","MICB",1,8,0.769,"0.017-5.744",1,1
"MICU1","MICU1",4,15,1.643,"0.396-5.169",0.326861544700347,1
"MICU2","MICU2",0,17,0,"0-1.489",0.154306318997083,1
"MICU3","MICU3",9,12,4.644,"1.723-12.042",0.00119199145558749,1
"MID1","MID1",2,8,1.539,"0.159-7.725",0.639392254739406,1
"MID1IP1","MID1IP1",1,1,6.154,"0.078-481.339",0.260133490143103,1
"MID2","MID2",5,13,2.372,"0.661-7.109",0.0952232307268908,1
"MIDN","MIDN",3,21,0.878,"0.167-2.949",1,1
"MIEF1","MIEF1",1,16,0.384,"0.009-2.476",0.496145436788319,1
"MIEF2","MIEF2",5,12,2.57,"0.708-7.859",0.0772889142146978,1
"MIEN1","MIEN1",0,4,0,"0-9.323",1,1
"MIER1","MIER1",2,9,1.368,"0.144-6.62",0.658821194906285,1
"MIER2","MIER2",5,16,1.927,"0.551-5.519",0.202045084099006,1
"MIER3","MIER3",2,10,1.231,"0.131-5.787",0.679878101976289,1
"MIF","MIF",3,6,3.081,"0.498-14.447",0.11971330756652,1
"MIF4GD","MIF4GD",1,8,0.769,"0.017-5.744",1,1
"MIIP","MIIP",4,11,2.241,"0.52-7.581",0.146976758973893,1
"MINA","MINA",4,16,1.54,"0.374-4.786",0.511840078855896,1
"MINK1","MINK1",4,31,0.793,"0.203-2.249",0.810344247154828,1
"MINOS1","MINOS1",0,1,0,"0-239.007",1,1
"MINOS1-NBL1","MINOS1-NBL1",0,7,0,"0-4.27",0.603344925597232,1
"MINPP1","MINPP1",0,7,0,"0-4.27",0.603344925597232,1
"MIOS","MIOS",2,16,0.768,"0.086-3.276",1,1
"MIOX","MIOX",3,13,1.421,"0.259-5.182",0.481390254039294,1
"MIP","MIP",1,7,0.879,"0.019-6.851",1,1
"MIPEP","MIPEP",10,19,3.259,"1.349-7.391",0.00439409626872909,1
"MIPOL1","MIPOL1",2,11,1.119,"0.12-5.136",0.701727828969992,1
"MIS12","MIS12",0,2,0,"0-32.757",1,1
"MIS18A","MIS18A",1,5,1.23,"0.026-11.012",0.595101749677219,1
"MIS18BP1","MIS18BP1",4,21,1.172,"0.292-3.484",0.770935104837492,1
"MISP","MISP",8,32,1.542,"0.612-3.429",0.255025140570437,1
"MITD1","MITD1",0,7,0,"0-4.27",0.603344925597232,1
"MITF","MITF",3,17,1.086,"0.204-3.763",0.752971839014173,1
"MIXL1","MIXL1",2,9,1.368,"0.144-6.62",0.658821194906285,1
"MKI67","MKI67",14,71,1.216,"0.63-2.186",0.527860729575005,1
"MKKS","MKKS",1,12,0.512,"0.012-3.468",1,1
"MKL1","MKL1",7,37,1.165,"0.437-2.656",0.663654197099067,1
"MKL2","MKL2",5,30,1.025,"0.31-2.677",1,1
"MKLN1","MKLN1",0,10,0,"0-2.745",0.375510171744492,1
"MKNK1","MKNK1",2,18,0.683,"0.077-2.859",1,1
"MKNK2","MKNK2",4,17,1.449,"0.354-4.454",0.523188248243264,1
"MKRN1","MKRN1",2,5,2.463,"0.234-15.066",0.255111685903417,1
"MKRN2","MKRN2",1,19,0.323,"0.008-2.037",0.345302423023549,1
"MKRN3","MKRN3",3,12,1.539,"0.278-5.716",0.455429043363959,1
"MKS1","MKS1",2,13,0.946,"0.104-4.189",1,1
"MKX","MKX",4,19,1.296,"0.32-3.91",0.552339193553217,1
"MLANA","MLANA",1,3,2.051,"0.039-25.583",0.452645520331089,1
"MLC1","MLC1",2,16,0.768,"0.086-3.276",1,1
"MLEC","MLEC",0,4,0,"0-9.323",1,1
"MLF1","MLF1",1,3,2.051,"0.039-25.583",0.452645520331089,1
"MLF2","MLF2",1,15,0.41,"0.01-2.667",0.714917673307461,1
"MLH1","MLH1",3,17,1.086,"0.204-3.763",0.752971839014173,1
"MLH3","MLH3",3,26,0.709,"0.137-2.32",0.789365790114986,1
"MLIP","MLIP",3,14,1.319,"0.243-4.737",0.722097011321823,1
"MLK4","MLK4",5,32,0.961,"0.292-2.492",1,1
"MLKL","MLKL",3,6,3.081,"0.498-14.447",0.11971330756652,1
"MLLT1","MLLT1",5,12,2.57,"0.708-7.859",0.0772889142146978,1
"MLLT10","MLLT10",3,20,0.922,"0.175-3.119",1,1
"MLLT11","MLLT11",0,3,0,"0-14.893",1,1
"MLLT3","MLLT3",2,11,1.119,"0.12-5.136",0.701727828969992,1
"MLLT4","MLLT4",8,44,1.119,"0.454-2.413",0.690965096408659,1
"MLLT6","MLLT6",8,41,1.202,"0.485-2.606",0.677631298213578,1
"MLN","MLN",1,2,3.077,"0.052-59.188",0.363621084433827,1
"MLNR","MLNR",1,13,0.473,"0.011-3.153",0.70780597982364,1
"MLPH","MLPH",6,22,1.681,"0.556-4.289",0.269597015607519,1
"MLST8","MLST8",1,4,1.538,"0.031-15.557",0.529226454405268,1
"MLTK","MLTK",5,11,2.804,"0.762-8.776",0.0613514563256166,1
"MLX","MLX",2,7,1.759,"0.178-9.255",0.365109577660504,1
"MLXIP","MLXIP",6,18,2.056,"0.667-5.423",0.134520332742599,1
"MLXIPL","MLXIPL",6,27,1.369,"0.461-3.395",0.451353533029067,1
"MLYCD","MLYCD",4,17,1.449,"0.354-4.454",0.523188248243264,1
"MMAA","MMAA",0,10,0,"0-2.745",0.375510171744492,1
"MMAB","MMAB",1,13,0.473,"0.011-3.153",0.70780597982364,1
"MMACHC","MMACHC",4,12,2.054,"0.482-6.795",0.265087990681448,1
"MMADHC","MMADHC",1,6,1.025,"0.022-8.464",1,1
"MMD","MMD",1,4,1.538,"0.031-15.557",0.529226454405268,1
"MMD2","MMD2",0,8,0,"0-3.605",0.610068929015988,1
"MME","MME",6,26,1.422,"0.477-3.544",0.440306786557618,1
"MMEL1","MMEL1",9,40,1.387,"0.59-2.916",0.405166217998503,1
"MMGT1","MMGT1",0,1,0,"0-239.007",1,1
"MMP1","MMP1",5,17,1.813,"0.522-5.133",0.220866241845021,1
"MMP10","MMP10",5,15,2.055,"0.583-5.965",0.185648735666623,1
"MMP11","MMP11",1,18,0.341,"0.008-2.165",0.50323536378801,1
"MMP13","MMP13",0,19,0,"0-1.317",0.0966063991443876,1
"MMP14","MMP14",5,17,1.813,"0.522-5.133",0.220866241845021,1
"MMP15","MMP15",8,21,2.353,"0.899-5.548",0.0533194692495701,1
"MMP16","MMP16",2,3,4.106,"0.343-35.884",0.146321784034376,1
"MMP17","MMP17",6,30,1.232,"0.418-3.017",0.628645636716728,1
"MMP19","MMP19",4,23,1.07,"0.268-3.141",0.784502510956041,1
"MMP2","MMP2",5,18,1.712,"0.496-4.798",0.358532331212776,1
"MMP20","MMP20",4,17,1.449,"0.354-4.454",0.523188248243264,1
"MMP21","MMP21",4,19,1.296,"0.32-3.91",0.552339193553217,1
"MMP23B","MMP23B",1,2,3.077,"0.052-59.188",0.363621084433827,1
"MMP24","MMP24",5,16,1.927,"0.551-5.519",0.202045084099006,1
"MMP25","MMP25",2,18,0.683,"0.077-2.859",1,1
"MMP26","MMP26",3,7,2.64,"0.44-11.587",0.154003911264573,1
"MMP27","MMP27",4,18,1.368,"0.336-4.165",0.53682932860853,1
"MMP28","MMP28",1,5,1.23,"0.026-11.012",0.595101749677219,1
"MMP3","MMP3",2,17,0.723,"0.081-3.054",1,1
"MMP7","MMP7",2,8,1.539,"0.159-7.725",0.639392254739406,1
"MMP8","MMP8",1,13,0.473,"0.011-3.153",0.70780597982364,1
"MMP9","MMP9",8,20,2.471,"0.939-5.877",0.0480881419284954,1
"MMRN1","MMRN1",3,35,0.526,"0.103-1.673",0.353965704966415,1
"MMRN2","MMRN2",7,28,1.541,"0.567-3.623",0.323948206537819,1
"MMS19","MMS19",6,24,1.541,"0.514-3.882",0.29881183571356,1
"MMS22L","MMS22L",5,36,0.854,"0.261-2.19",1,1
"MN1","MN1",3,44,0.418,"0.083-1.307",0.201051101341311,1
"MNAT1","MNAT1",1,6,1.025,"0.022-8.464",1,1
"MND1","MND1",0,8,0,"0-3.605",0.610068929015988,1
"MNDA","MNDA",4,5,4.935,"0.977-22.967",0.0267199569513988,1
"MNS1","MNS1",3,20,0.922,"0.175-3.119",1,1
"MNT","MNT",5,25,1.231,"0.367-3.285",0.60066527627902,1
"MNX1","MNX1",1,11,0.559,"0.013-3.852",1,1
"MOAP1","MOAP1",1,8,0.769,"0.017-5.744",1,1
"MOB1A","MOB1A",0,1,0,"0-239.007",1,1
"MOB1B","MOB1B",1,6,1.025,"0.022-8.464",1,1
"MOB2","MOB2",1,6,1.025,"0.022-8.464",1,1
"MOB3A","MOB3A",3,10,1.848,"0.326-7.192",0.410568517995923,1
"MOB3B","MOB3B",0,9,0,"0-3.117",0.622676612666482,1
"MOB3C","MOB3C",1,7,0.879,"0.019-6.851",1,1
"MOB4","MOB4",0,3,0,"0-14.893",1,1
"MOBP","MOBP",0,2,0,"0-32.757",1,1
"MOCOS","MOCOS",8,26,1.899,"0.741-4.335",0.131016164384073,1
"MOCS1","MOCS1",1,12,0.512,"0.012-3.468",1,1
"MOCS2","MOCS2",1,8,0.769,"0.017-5.744",1,1
"MOCS3","MOCS3",2,10,1.231,"0.131-5.787",0.679878101976289,1
"MOG","MOG",2,7,1.759,"0.178-9.255",0.365109577660504,1
"MOGAT1","MOGAT1",1,9,0.683,"0.016-4.939",1,1
"MOGAT2","MOGAT2",0,15,0,"0-1.714",0.251141686836283,1
"MOGAT3","MOGAT3",3,9,2.053,"0.357-8.245",0.22966252990832,1
"MOGS","MOGS",6,23,1.608,"0.534-4.075",0.283235647630451,1
"MOK","MOK",0,15,0,"0-1.714",0.251141686836283,1
"MON1A","MON1A",7,14,3.089,"1.053-8.202",0.0200088818306955,1
"MON1B","MON1B",6,25,1.479,"0.495-3.705",0.431092104507621,1
"MON2","MON2",7,31,1.392,"0.516-3.232",0.477883632813287,1
"MORC1","MORC1",3,14,1.319,"0.243-4.737",0.722097011321823,1
"MORC2","MORC2",1,16,0.384,"0.009-2.476",0.496145436788319,1
"MORC3","MORC3",1,6,1.025,"0.022-8.464",1,1
"MORC4","MORC4",7,15,2.883,"0.992-7.533",0.0258991458966048,1
"MORF4L1","MORF4L1",1,5,1.23,"0.026-11.012",0.595101749677219,1
"MORF4L2","MORF4L2",0,1,0,"0-239.007",1,1
"MORN1","MORN1",5,19,1.622,"0.472-4.503",0.369253344532591,1
"MORN2","MORN2",0,5,0,"0-6.716",1,1
"MORN3","MORN3",0,12,0,"0-2.214",0.39347571054441,1
"MORN4","MORN4",1,5,1.23,"0.026-11.012",0.595101749677219,1
"MORN5","MORN5",0,7,0,"0-4.27",0.603344925597232,1
"MOS","MOS",2,12,1.025,"0.111-4.615",1,1
"MOSPD1","MOSPD1",1,1,6.154,"0.078-481.339",0.260133490143103,1
"MOSPD2","MOSPD2",0,1,0,"0-239.007",1,1
"MOSPD3","MOSPD3",1,10,0.615,"0.014-4.33",1,1
"MOV10","MOV10",6,24,1.541,"0.514-3.882",0.29881183571356,1
"MOV10L1","MOV10L1",5,35,0.878,"0.268-2.258",1,1
"MOXD1","MOXD1",2,21,0.585,"0.066-2.399",0.761589471370194,1
"MPC1","MPC1",0,5,0,"0-6.716",1,1
"MPC2","MPC2",1,4,1.538,"0.031-15.557",0.529226454405268,1
"MPDU1","MPDU1",1,8,0.769,"0.017-5.744",1,1
"MPDZ","MPDZ",12,64,1.155,"0.565-2.169",0.61836988582793,1
"MPEG1","MPEG1",6,14,2.645,"0.831-7.348",0.05018588530236,1
"MPG","MPG",5,18,1.712,"0.496-4.798",0.358532331212776,1
"MPHOSPH10","MPHOSPH10",2,15,0.82,"0.091-3.534",1,1
"MPHOSPH6","MPHOSPH6",2,3,4.106,"0.343-35.884",0.146321784034376,1
"MPHOSPH8","MPHOSPH8",4,23,1.07,"0.268-3.141",0.784502510956041,1
"MPHOSPH9","MPHOSPH9",4,26,0.946,"0.239-2.735",1,1
"MPI","MPI",7,15,2.883,"0.992-7.533",0.0258991458966048,1
"MPL","MPL",5,14,2.202,"0.619-6.487",0.172005054429364,1
"MPLKIP","MPLKIP",0,19,0,"0-1.317",0.0966063991443876,1
"MPND","MPND",2,22,0.558,"0.064-2.277",0.565568150629973,1
"MPO","MPO",2,26,0.472,"0.054-1.891",0.41663650872336,1
"MPP1","MPP1",0,10,0,"0-2.745",0.375510171744492,1
"MPP2","MPP2",2,25,0.491,"0.056-1.975",0.57415365729949,1
"MPP3","MPP3",4,16,1.54,"0.374-4.786",0.511840078855896,1
"MPP4","MPP4",3,31,0.594,"0.116-1.91",0.617405379429077,1
"MPP5","MPP5",2,18,0.683,"0.077-2.859",1,1
"MPP6","MPP6",1,7,0.879,"0.019-6.851",1,1
"MPP7","MPP7",4,15,1.643,"0.396-5.169",0.326861544700347,1
"MPPE1","MPPE1",2,8,1.539,"0.159-7.725",0.639392254739406,1
"MPPED1","MPPED1",3,7,2.64,"0.44-11.587",0.154003911264573,1
"MPPED2","MPPED2",1,3,2.051,"0.039-25.583",0.452645520331089,1
"MPRIP","MPRIP",10,33,1.872,"0.82-3.904",0.11725044478304,1
"MPST","MPST",1,11,0.559,"0.013-3.852",1,1
"MPV17","MPV17",2,9,1.368,"0.144-6.62",0.658821194906285,1
"MPV17L","MPV17L",1,9,0.683,"0.016-4.939",1,1
"MPV17L2","MPV17L2",1,7,0.879,"0.019-6.851",1,1
"MPZ","MPZ",0,2,0,"0-32.757",1,1
"MPZL1","MPZL1",0,6,0,"0-5.227",1,1
"MPZL2","MPZL2",3,12,1.539,"0.278-5.716",0.455429043363959,1
"MPZL3","MPZL3",1,7,0.879,"0.019-6.851",1,1
"MR1","MR1",4,12,2.054,"0.482-6.795",0.265087990681448,1
"MRAP","MRAP",2,4,3.079,"0.278-21.514",0.199849978045513,1
"MRAP2","MRAP2",1,5,1.23,"0.026-11.012",0.595101749677219,1
"MRAS","MRAS",1,4,1.538,"0.031-15.557",0.529226454405268,1
"MRC1L1","MRC1L1",0,10,0,"0-2.745",0.375510171744492,1
"MRC2","MRC2",9,44,1.26,"0.539-2.626",0.548908165793068,1
"MRE11A","MRE11A",2,20,0.614,"0.07-2.536",0.758980955567048,1
"MREG","MREG",1,7,0.879,"0.019-6.851",1,1
"MRFAP1","MRFAP1",0,3,0,"0-14.893",1,1
"MRFAP1L1","MRFAP1L1",0,9,0,"0-3.117",0.622676612666482,1
"MRGBP","MRGBP",0,8,0,"0-3.605",0.610068929015988,1
"MRGPRD","MRGPRD",0,5,0,"0-6.716",1,1
"MRGPRE","MRGPRE",3,15,1.231,"0.228-4.362",0.731093398242643,1
"MRGPRF","MRGPRF",3,12,1.539,"0.278-5.716",0.455429043363959,1
"MRGPRG","MRGPRG",0,7,0,"0-4.27",0.603344925597232,1
"MRGPRX1","MRGPRX1",1,7,0.879,"0.019-6.851",1,1
"MRGPRX2","MRGPRX2",0,11,0,"0-2.451",0.381372621441588,1
"MRGPRX3","MRGPRX3",0,6,0,"0-5.227",1,1
"MRGPRX4","MRGPRX4",0,6,0,"0-5.227",1,1
"MRI1","MRI1",3,18,1.025,"0.193-3.521",1,1
"MRM1","MRM1",4,13,1.896,"0.449-6.153",0.282760427400664,1
"MRO","MRO",2,9,1.368,"0.144-6.62",0.658821194906285,1
"MROH1","MROH1",1,14,0.439,"0.01-2.89",0.709996289764432,1
"MROH2A","MROH2A",12,66,1.12,"0.549-2.099",0.741932063491897,1
"MROH2B","MROH2B",5,44,0.698,"0.215-1.76",0.540146287288284,1
"MROH5","MROH5",0,1,0,"0-239.007",1,1
"MROH6","MROH6",6,28,1.32,"0.446-3.259",0.464012001567757,1
"MROH7","MROH7",7,54,0.796,"0.305-1.761",0.71145728300562,1
"MROH8","MROH8",10,36,1.715,"0.757-3.542",0.13449641797887,1
"MROH9","MROH9",5,26,1.184,"0.354-3.142",0.793547316350366,1
"MRP63","MRP63",2,4,3.079,"0.278-21.514",0.199849978045513,1
"MRPL1","MRPL1",0,8,0,"0-3.605",0.610068929015988,1
"MRPL10","MRPL10",2,13,0.946,"0.104-4.189",1,1
"MRPL11","MRPL11",0,6,0,"0-5.227",1,1
"MRPL12","MRPL12",2,6,2.052,"0.202-11.499",0.310577073195175,1
"MRPL13","MRPL13",3,6,3.081,"0.498-14.447",0.11971330756652,1
"MRPL14","MRPL14",1,7,0.879,"0.019-6.851",1,1
"MRPL15","MRPL15",3,7,2.64,"0.44-11.587",0.154003911264573,1
"MRPL16","MRPL16",6,7,5.296,"1.467-18.441",0.0052508191445154,1
"MRPL17","MRPL17",2,13,0.946,"0.104-4.189",1,1
"MRPL18","MRPL18",0,8,0,"0-3.605",0.610068929015988,1
"MRPL19","MRPL19",1,11,0.559,"0.013-3.852",1,1
"MRPL2","MRPL2",4,16,1.54,"0.374-4.786",0.511840078855896,1
"MRPL20","MRPL20",1,10,0.615,"0.014-4.33",1,1
"MRPL21","MRPL21",0,10,0,"0-2.745",0.375510171744492,1
"MRPL22","MRPL22",1,1,6.154,"0.078-481.339",0.260133490143103,1
"MRPL23","MRPL23",2,2,6.159,"0.446-85.26",0.0965477767420391,1
"MRPL24","MRPL24",2,10,1.231,"0.131-5.787",0.679878101976289,1
"MRPL27","MRPL27",1,6,1.025,"0.022-8.464",1,1
"MRPL28","MRPL28",2,15,0.82,"0.091-3.534",1,1
"MRPL3","MRPL3",4,13,1.896,"0.449-6.153",0.282760427400664,1
"MRPL30","MRPL30",1,2,3.077,"0.052-59.188",0.363621084433827,1
"MRPL32","MRPL32",0,3,0,"0-14.893",1,1
"MRPL33","MRPL33",1,1,6.154,"0.078-481.339",0.260133490143103,1
"MRPL34","MRPL34",0,3,0,"0-14.893",1,1
"MRPL35","MRPL35",2,3,4.106,"0.343-35.884",0.146321784034376,1
"MRPL36","MRPL36",2,3,4.106,"0.343-35.884",0.146321784034376,1
"MRPL37","MRPL37",5,19,1.622,"0.472-4.503",0.369253344532591,1
"MRPL38","MRPL38",5,14,2.202,"0.619-6.487",0.172005054429364,1
"MRPL39","MRPL39",1,8,0.769,"0.017-5.744",1,1
"MRPL4","MRPL4",4,17,1.449,"0.354-4.454",0.523188248243264,1
"MRPL40","MRPL40",2,8,1.539,"0.159-7.725",0.639392254739406,1
"MRPL41","MRPL41",0,4,0,"0-9.323",1,1
"MRPL42","MRPL42",2,4,3.079,"0.278-21.514",0.199849978045513,1
"MRPL43","MRPL43",1,9,0.683,"0.016-4.939",1,1
"MRPL44","MRPL44",0,10,0,"0-2.745",0.375510171744492,1
"MRPL45","MRPL45",1,15,0.41,"0.01-2.667",0.714917673307461,1
"MRPL46","MRPL46",1,10,0.615,"0.014-4.33",1,1
"MRPL47","MRPL47",0,4,0,"0-9.323",1,1
"MRPL48","MRPL48",1,5,1.23,"0.026-11.012",0.595101749677219,1
"MRPL49","MRPL49",3,7,2.64,"0.44-11.587",0.154003911264573,1
"MRPL50","MRPL50",0,5,0,"0-6.716",1,1
"MRPL51","MRPL51",1,4,1.538,"0.031-15.557",0.529226454405268,1
"MRPL52","MRPL52",0,4,0,"0-9.323",1,1
"MRPL53","MRPL53",0,7,0,"0-4.27",0.603344925597232,1
"MRPL54","MRPL54",0,6,0,"0-5.227",1,1
"MRPL55","MRPL55",1,2,3.077,"0.052-59.188",0.363621084433827,1
"MRPL9","MRPL9",1,10,0.615,"0.014-4.33",1,1
"MRPS10","MRPS10",1,2,3.077,"0.052-59.188",0.363621084433827,1
"MRPS11","MRPS11",1,6,1.025,"0.022-8.464",1,1
"MRPS12","MRPS12",1,4,1.538,"0.031-15.557",0.529226454405268,1
"MRPS14","MRPS14",2,12,1.025,"0.111-4.615",1,1
"MRPS15","MRPS15",1,7,0.879,"0.019-6.851",1,1
"MRPS16","MRPS16",1,8,0.769,"0.017-5.744",1,1
"MRPS17","MRPS17",4,4,6.169,"1.147-33.152",0.0166626823550926,1
"MRPS18A","MRPS18A",1,10,0.615,"0.014-4.33",1,1
"MRPS18B","MRPS18B",3,4,4.623,"0.676-27.353",0.0616957084007511,1
"MRPS18C","MRPS18C",0,7,0,"0-4.27",0.603344925597232,1
"MRPS2","MRPS2",0,14,0,"0-1.854",0.241575351311578,1
"MRPS21","MRPS21",1,1,6.154,"0.078-481.339",0.260133490143103,1
"MRPS22","MRPS22",3,10,1.848,"0.326-7.192",0.410568517995923,1
"MRPS23","MRPS23",0,4,0,"0-9.323",1,1
"MRPS24","MRPS24",2,5,2.463,"0.234-15.066",0.255111685903417,1
"MRPS25","MRPS25",2,4,3.079,"0.278-21.514",0.199849978045513,1
"MRPS26","MRPS26",1,4,1.538,"0.031-15.557",0.529226454405268,1
"MRPS27","MRPS27",1,10,0.615,"0.014-4.33",1,1
"MRPS28","MRPS28",0,9,0,"0-3.117",0.622676612666482,1
"MRPS30","MRPS30",2,17,0.723,"0.081-3.054",1,1
"MRPS31","MRPS31",2,10,1.231,"0.131-5.787",0.679878101976289,1
"MRPS33","MRPS33",0,2,0,"0-32.757",1,1
"MRPS34","MRPS34",4,16,1.54,"0.374-4.786",0.511840078855896,1
"MRPS35","MRPS35",3,12,1.539,"0.278-5.716",0.455429043363959,1
"MRPS36","MRPS36",1,2,3.077,"0.052-59.188",0.363621084433827,1
"MRPS5","MRPS5",4,13,1.896,"0.449-6.153",0.282760427400664,1
"MRPS6","MRPS6",0,4,0,"0-9.323",1,1
"MRPS7","MRPS7",2,4,3.079,"0.278-21.514",0.199849978045513,1
"MRPS9","MRPS9",4,8,3.083,"0.678-11.529",0.0745428741557966,1
"MRRF","MRRF",0,3,0,"0-14.893",1,1
"MRS2","MRS2",0,9,0,"0-3.117",0.622676612666482,1
"MRTO4","MRTO4",2,5,2.463,"0.234-15.066",0.255111685903417,1
"MRVI1","MRVI1",4,20,1.231,"0.305-3.685",0.765639688844986,1
"MS4A1","MS4A1",2,9,1.368,"0.144-6.62",0.658821194906285,1
"MS4A10","MS4A10",3,5,3.698,"0.573-19.033",0.0887155240281463,1
"MS4A12","MS4A12",1,4,1.538,"0.031-15.557",0.529226454405268,1
"MS4A13","MS4A13",0,4,0,"0-9.323",1,1
"MS4A14","MS4A14",3,16,1.154,"0.215-4.041",0.741504891089014,1
"MS4A15","MS4A15",0,10,0,"0-2.745",0.375510171744492,1
"MS4A18","MS4A18",2,11,1.119,"0.12-5.136",0.701727828969992,1
"MS4A2","MS4A2",1,7,0.879,"0.019-6.851",1,1
"MS4A3","MS4A3",2,7,1.759,"0.178-9.255",0.365109577660504,1
"MS4A4A","MS4A4A",0,2,0,"0-32.757",1,1
"MS4A4E","MS4A4E",0,2,0,"0-32.757",1,1
"MS4A5","MS4A5",0,5,0,"0-6.716",1,1
"MS4A6A","MS4A6A",1,9,0.683,"0.016-4.939",1,1
"MS4A6E","MS4A6E",1,5,1.23,"0.026-11.012",0.595101749677219,1
"MS4A7","MS4A7",1,1,6.154,"0.078-481.339",0.260133490143103,1
"MS4A8","MS4A8",0,7,0,"0-4.27",0.603344925597232,1
"MSANTD1","MSANTD1",1,7,0.879,"0.019-6.851",1,1
"MSANTD2","MSANTD2",3,14,1.319,"0.243-4.737",0.722097011321823,1
"MSANTD3","MSANTD3",2,3,4.106,"0.343-35.884",0.146321784034376,1
"MSANTD3-TMEFF1","MSANTD3-TMEFF1",1,9,0.683,"0.016-4.939",1,1
"MSANTD4","MSANTD4",1,5,1.23,"0.026-11.012",0.595101749677219,1
"MSC","MSC",3,7,2.64,"0.44-11.587",0.154003911264573,1
"MSGN1","MSGN1",0,2,0,"0-32.757",1,1
"MSH2","MSH2",10,30,2.06,"0.896-4.346",0.0625004793313179,1
"MSH3","MSH3",7,34,1.268,"0.473-2.916",0.502565084810933,1
"MSH4","MSH4",2,22,0.558,"0.064-2.277",0.565568150629973,1
"MSH5","MSH5",2,18,0.683,"0.077-2.859",1,1
"MSH6","MSH6",9,68,0.813,"0.355-1.642",0.740360394038068,1
"MSI1","MSI1",0,11,0,"0-2.451",0.381372621441588,1
"MSI2","MSI2",2,4,3.079,"0.278-21.514",0.199849978045513,1
"MSL1","MSL1",1,6,1.025,"0.022-8.464",1,1
"MSL2","MSL2",2,6,2.052,"0.202-11.499",0.310577073195175,1
"MSL3","MSL3",0,7,0,"0-4.27",0.603344925597232,1
"MSLN","MSLN",0,24,0,"0-1.02",0.0399068468996295,1
"MSLNL","MSLNL",11,31,2.195,"0.992-4.504",0.0399636430656589,1
"MSMB","MSMB",0,3,0,"0-14.893",1,1
"MSMO1","MSMO1",1,9,0.683,"0.016-4.939",1,1
"MSMP","MSMP",1,11,0.559,"0.013-3.852",1,1
"MSN","MSN",2,7,1.759,"0.178-9.255",0.365109577660504,1
"MSR1","MSR1",6,19,1.948,"0.635-5.088",0.14891550394642,1
"MSRA","MSRA",1,16,0.384,"0.009-2.476",0.496145436788319,1
"MSRB1","MSRB1",1,5,1.23,"0.026-11.012",0.595101749677219,1
"MSRB2","MSRB2",2,5,2.463,"0.234-15.066",0.255111685903417,1
"MSRB3","MSRB3",0,2,0,"0-32.757",1,1
"MSS51","MSS51",1,13,0.473,"0.011-3.153",0.70780597982364,1
"MST1","MST1",4,32,0.768,"0.197-2.172",0.810549613427535,1
"MST1R","MST1R",15,59,1.572,"0.825-2.82",0.127920041165582,1
"MST4","MST4",0,3,0,"0-14.893",1,1
"MSTN","MSTN",2,4,3.079,"0.278-21.514",0.199849978045513,1
"MSTO1","MSTO1",3,14,1.319,"0.243-4.737",0.722097011321823,1
"MSX1","MSX1",0,15,0,"0-1.714",0.251141686836283,1
"MSX2","MSX2",0,9,0,"0-3.117",0.622676612666482,1
"MT1A","MT1A",1,2,3.077,"0.052-59.188",0.363621084433827,1
"MT1B","MT1B",0,4,0,"0-9.323",1,1
"MT1E","MT1E",0,1,0,"0-239.007",1,1
"MT1F","MT1F",0,5,0,"0-6.716",1,1
"MT1G","MT1G",0,3,0,"0-14.893",1,1
"MT1H","MT1H",1,1,6.154,"0.078-481.339",0.260133490143103,1
"MT1HL1","MT1HL1",1,4,1.538,"0.031-15.557",0.529226454405268,1
"MT1M","MT1M",0,2,0,"0-32.757",1,1
"MT1X","MT1X",2,3,4.106,"0.343-35.884",0.146321784034376,1
"MT3","MT3",0,1,0,"0-239.007",1,1
"MT4","MT4",0,3,0,"0-14.893",1,1
"MTA1","MTA1",1,14,0.439,"0.01-2.89",0.709996289764432,1
"MTA2","MTA2",1,6,1.025,"0.022-8.464",1,1
"MTA3","MTA3",2,11,1.119,"0.12-5.136",0.701727828969992,1
"MTAP","MTAP",1,6,1.025,"0.022-8.464",1,1
"MTBP","MTBP",4,27,0.911,"0.231-2.622",1,1
"MTCH1","MTCH1",0,8,0,"0-3.605",0.610068929015988,1
"MTCH2","MTCH2",1,8,0.769,"0.017-5.744",1,1
"MTCP1","MTCP1",0,3,0,"0-14.893",1,1
